number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_hidden,params_lr,params_n_steps,params_num_envs,params_vf_coef,user_attrs_mean_cost,user_attrs_mean_reward,system_attrs_NSGAIISampler:generation,state
11,214.6037778177803,27.759724448661096,2025-05-23 16:09:49.742970,2025-05-23 16:17:55.902124,0 days 00:08:06.159154,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,27.759724448661096,214.6037778177803,0,COMPLETE
12,231.53432544409574,30.055926017752807,2025-05-23 16:17:55.912538,2025-05-23 16:22:53.783527,0 days 00:04:57.870989,256,0.12789877213040837,7.52374288453485e-05,0.9489482315777904,0.971,128.0,2.69265525148647e-05,1024,28.0,0.4297256589643226,30.055926017752807,231.53432544409574,0,COMPLETE
13,322.0380595594176,28.04772910672951,2025-05-23 16:22:53.794774,2025-05-23 16:28:13.138287,0 days 00:05:19.343513,128,0.26167946962329225,8.200518402245828e-05,0.9772505626459648,0.953,64.0,0.00025212679047779214,2560,24.0,0.1879049026057455,28.04772910672951,322.0380595594176,0,COMPLETE
14,235.9312315681541,28.765192355902617,2025-05-23 16:28:13.147733,2025-05-23 16:33:34.596793,0 days 00:05:21.449060,64,0.1369708911051054,0.008105016126411584,0.9437368223474624,0.965,64.0,5.864129169696523e-05,512,48.0,0.7976195410250031,28.765192355902617,235.9312315681541,0,COMPLETE
15,217.1452683249896,29.3354996784232,2025-05-23 16:33:34.608283,2025-05-23 16:37:49.396472,0 days 00:04:14.788189,256,0.17135066533871784,6.963114377829287e-05,0.9662990007321544,0.969,128.0,2.516607127550294e-05,512,48.0,0.5884264748424236,29.3354996784232,217.1452683249896,0,COMPLETE
16,331.17016169499675,28.667179520997006,2025-05-23 16:37:49.406504,2025-05-23 16:46:06.544631,0 days 00:08:17.138127,256,0.11480893034681808,0.0001189589673755355,0.9617016277348757,0.985,64.0,0.00011935262708510539,3584,4.0,0.20428215357261675,28.667179520997006,331.17016169499675,0,COMPLETE
17,232.76115292478602,28.316358268783347,2025-05-23 16:46:06.556210,2025-05-23 16:52:03.568005,0 days 00:05:57.011795,128,0.242648957444599,0.0019158219548093154,0.9095675396750642,0.994,64.0,4.9833191601257255e-05,1536,24.0,0.6051494778125466,28.316358268783347,232.76115292478602,0,COMPLETE
18,349.77890249984426,28.44940406408718,2025-05-23 16:52:03.577486,2025-05-23 16:59:22.352069,0 days 00:07:18.774583,256,0.14985844582977498,0.0001702741688676439,0.9726053179140874,0.965,256.0,5.639239991667555e-05,512,8.0,0.7799960246887438,28.44940406408718,349.77890249984426,0,COMPLETE
19,222.60766796282905,31.755919286508465,2025-05-23 16:59:22.361590,2025-05-23 17:05:38.558437,0 days 00:06:16.196847,256,0.20786844838313012,0.0026443593078398627,0.9714047198791982,0.99,64.0,1.8861950443028867e-05,4096,24.0,0.9064821699311439,31.755919286508465,222.60766796282905,0,COMPLETE
20,278.40641742286226,29.691868683292757,2025-05-23 17:05:38.568096,2025-05-23 17:11:28.521303,0 days 00:05:49.953207,64,0.1675230342807256,0.0067410742656406975,0.9095892293866946,0.97,128.0,2.1285319216384283e-05,3584,48.0,0.3908826388186797,29.691868683292757,278.40641742286226,0,COMPLETE
